	feat.N	feat.last_char	feat.sample_per_class	model.batch_size	model.layers	model.nb_epoch	result.test_acc
249	3.0	5.0	30000.0	500.0	(30, 100)	300.0	0.95775
250	3.0	5.0	30000.0	500.0	(40, 10)	300.0	0.95875
251	3.0	5.0	30000.0	500.0	(40, 20)	300.0	0.9533333333333334
252	3.0	5.0	30000.0	500.0	(40, 30)	300.0	0.957
253	3.0	5.0	30000.0	500.0	(40, 40)	300.0	0.9576666666666668
254	3.0	5.0	30000.0	500.0	(40, 50)	300.0	0.9611666666666666
255	3.0	5.0	30000.0	500.0	(40, 60)	300.0	0.9613333333333334
256	3.0	5.0	30000.0	500.0	(40, 70)	300.0	0.96
257	3.0	5.0	30000.0	500.0	(40, 80)	300.0	0.96125
258	3.0	5.0	30000.0	500.0	(40, 90)	300.0	0.9596666666666668
259	3.0	5.0	30000.0	500.0	(40, 100)	300.0	0.9565
260	3.0	5.0	30000.0	500.0	(50, 10)	300.0	0.96475
261	3.0	5.0	30000.0	500.0	(50, 20)	300.0	0.9594166666666668
262	3.0	5.0	30000.0	500.0	(50, 30)	300.0	0.95825
263	3.0	5.0	30000.0	500.0	(50, 40)	300.0	0.96
264	3.0	5.0	30000.0	500.0	(50, 50)	300.0	0.9566666666666668
265	3.0	5.0	30000.0	500.0	(50, 60)	300.0	0.9564166666666668
266	3.0	5.0	30000.0	500.0	(50, 70)	300.0	0.9596666666666668
267	3.0	5.0	30000.0	500.0	(50, 80)	300.0	0.9595
268	3.0	5.0	30000.0	500.0	(50, 90)	300.0	0.9553333333333334
269	3.0	5.0	30000.0	500.0	(50, 100)	300.0	0.9588333333333332
270	3.0	5.0	30000.0	500.0	(60, 10)	300.0	0.9575
271	3.0	5.0	30000.0	500.0	(60, 20)	300.0	0.96
272	3.0	5.0	30000.0	500.0	(60, 30)	300.0	0.9571666666666668
273	3.0	5.0	30000.0	500.0	(60, 40)	300.0	0.96
274	3.0	5.0	30000.0	500.0	(60, 50)	300.0	0.9576666666666668
275	3.0	5.0	30000.0	500.0	(60, 60)	300.0	0.9601666666666666
276	3.0	10.0	30000.0	500.0	(40, 40)	300.0	0.9673333333333334
277	3.0	9.0	30000.0	500.0	(40, 40)	300.0	0.9670000000000001
278	3.0	4.0	30000.0	500.0	(40, 40)	300.0	0.9470833333333334
279	3.0	3.0	30000.0	500.0	(40, 40)	300.0	0.9241666666666668
280	3.0	2.0	30000.0	500.0	(40, 40)	300.0	0.8508333333333333
281	3.0	1.0	30000.0	500.0	(40, 40)	300.0	0.73
282	2.0	6.0	30000.0	500.0	(10, 10)	300.0	0.9463333333333334
283	2.0	6.0	30000.0	500.0	(10, 20)	300.0	0.948
284	2.0	6.0	30000.0	500.0	(10, 30)	300.0	0.9423333333333334
285	2.0	6.0	30000.0	500.0	(10, 40)	300.0	0.9509166666666666
286	2.0	6.0	30000.0	500.0	(10, 50)	300.0	0.9486666666666668
287	2.0	6.0	30000.0	500.0	(10, 60)	300.0	0.9461666666666668
288	2.0	6.0	30000.0	500.0	(10, 70)	300.0	0.94275
289	2.0	6.0	30000.0	500.0	(10, 80)	300.0	0.946
290	2.0	6.0	30000.0	500.0	(10, 90)	300.0	0.95025
291	2.0	6.0	30000.0	500.0	(10, 100)	300.0	0.9461666666666668
292	2.0	6.0	30000.0	500.0	(20, 10)	300.0	0.9545
293	2.0	6.0	30000.0	500.0	(20, 20)	300.0	0.9484166666666668
294	2.0	6.0	30000.0	500.0	(20, 30)	300.0	0.9441666666666668
295	2.0	6.0	30000.0	500.0	(20, 40)	300.0	0.9458333333333332
296	2.0	6.0	30000.0	500.0	(20, 50)	300.0	0.9479166666666666
297	2.0	6.0	30000.0	500.0	(20, 60)	300.0	0.9481666666666668
298	2.0	6.0	30000.0	500.0	(20, 70)	300.0	0.9459166666666666
299	2.0	6.0	30000.0	500.0	(20, 80)	300.0	0.9456666666666668
300	2.0	6.0	30000.0	500.0	(20, 90)	300.0	0.94925
301	2.0	6.0	30000.0	500.0	(20, 100)	300.0	0.9450833333333334
302	2.0	6.0	30000.0	500.0	(30, 10)	300.0	0.9455
303	2.0	6.0	30000.0	500.0	(30, 20)	300.0	0.9498333333333332
304	2.0	6.0	30000.0	500.0	(30, 30)	300.0	0.946
305	2.0	6.0	30000.0	500.0	(30, 40)	300.0	0.9394166666666668
306	2.0	6.0	30000.0	500.0	(30, 50)	300.0	0.94625
307	2.0	6.0	30000.0	500.0	(30, 60)	300.0	0.9490000000000001
308	2.0	6.0	30000.0	500.0	(30, 70)	300.0	0.9476666666666668
309	2.0	6.0	30000.0	500.0	(30, 80)	300.0	0.95
310	2.0	6.0	30000.0	500.0	(30, 90)	300.0	0.9436666666666668
311	2.0	6.0	30000.0	500.0	(30, 100)	300.0	0.951
312	2.0	6.0	30000.0	500.0	(40, 10)	300.0	0.9470833333333334
313	2.0	6.0	30000.0	500.0	(40, 20)	300.0	0.94575
314	2.0	6.0	30000.0	500.0	(40, 30)	300.0	0.9485833333333332
315	2.0	6.0	30000.0	500.0	(40, 40)	300.0	0.94525
316	2.0	6.0	30000.0	500.0	(40, 50)	300.0	0.94675
317	2.0	6.0	30000.0	500.0	(40, 60)	300.0	0.9455
318	2.0	6.0	30000.0	500.0	(40, 70)	300.0	0.95225
319	2.0	6.0	30000.0	500.0	(40, 80)	300.0	0.95125
