model.nb_epoch	feat.last_char	model.activations	model.metrics	global.train_test_split	result.exception	result.feature_count	feat.tag_filter	global.nolog	feat.data_path	model.batch_size	feat.encoding	result.test_sample_count	feat.use_padding	result.test_acc	model.architecture	result.train_sample_count	feat.sample_per_class	result.train_loss	feat.include_smaller_ngrams	model.input_dim	result.success	result.running_time	result.test_loss	model.output_dim	result.train_acc	feat.N	model.loss	model.layers	model.optimizer	global.comment	result.timestamp	feat.max_lines	feat.full_tag	feat.grep_filter	feat.sample_size	result.class_no	feat.tag_limit_in_cluster	feat.shuffled	feat.uniq_lines	model.early_stopping	feat.early_stopping
60.0	6.0	('sigmoid', 'sigmoid', 'sigmoid')	['accuracy']	0.9		3604.0	('NOUN', 'VERB')	False	/mnt/store/hlt/Language/Hungarian/Crawl/Web2/ana/xaa.tagged	2000.0	latin2	2000.0	True	0.95075	FFNN	18000.0	10000.0	0.06315414864549207	False	3604.0	True	0 days 00:00:25.290591	0.14059973484557126	2.0	0.9792777777777778	2.0	binary_crossentropy	(40, 40)	rmsprop										False	False	
70.0	6.0	('sigmoid', 'sigmoid', 'sigmoid')	['accuracy']	0.9		3604.0	('NOUN', 'VERB')	False	/mnt/store/hlt/Language/Hungarian/Crawl/Web2/ana/xaa.tagged	50.0	latin2	2000.0	True	0.95375	FFNN	18000.0	10000.0	0.08865393495642476	False	3604.0	True	0 days 00:00:59.216883	0.14431981060281396	2.0	0.9699444444444444	2.0	binary_crossentropy	(40, 40)	rmsprop										False	False	
70.0	6.0	('sigmoid', 'sigmoid', 'sigmoid')	['accuracy']	0.9		3604.0	('NOUN', 'VERB')	False	/mnt/store/hlt/Language/Hungarian/Crawl/Web2/ana/xaa.tagged	100.0	latin2	2000.0	True	0.9555	FFNN	18000.0	10000.0	0.0769322856279711	False	3604.0	True	0 days 00:00:42.160132	0.13433442059531808	2.0	0.9738333333333332	2.0	binary_crossentropy	(40, 40)	rmsprop										False	False	
70.0	6.0	('sigmoid', 'sigmoid', 'sigmoid')	['accuracy']	0.9		3604.0	('NOUN', 'VERB')	False	/mnt/store/hlt/Language/Hungarian/Crawl/Web2/ana/xaa.tagged	200.0	latin2	2000.0	True	0.956	FFNN	18000.0	10000.0	0.06051157822532373	False	3604.0	True	0 days 00:00:33.498701	0.13809344125725329	2.0	0.9812777777777778	2.0	binary_crossentropy	(40, 40)	rmsprop										False	False	
70.0	6.0	('sigmoid', 'sigmoid', 'sigmoid')	['accuracy']	0.9		3604.0	('NOUN', 'VERB')	False	/mnt/store/hlt/Language/Hungarian/Crawl/Web2/ana/xaa.tagged	500.0	latin2	2000.0	True	0.9575	FFNN	18000.0	10000.0	0.04548659561041536	False	3604.0	True	0 days 00:00:26.530405	0.16343154557049275	2.0	0.9855	2.0	binary_crossentropy	(40, 40)	rmsprop										False	False	
70.0	6.0	('sigmoid', 'sigmoid', 'sigmoid')	['accuracy']	0.9		3604.0	('NOUN', 'VERB')	False	/mnt/store/hlt/Language/Hungarian/Crawl/Web2/ana/xaa.tagged	1000.0	latin2	2000.0	True	0.9490000000000001	FFNN	18000.0	10000.0	0.04818388045985355	False	3604.0	True	0 days 00:00:23.974716	0.1749727658126503	2.0	0.9841111111111112	2.0	binary_crossentropy	(40, 40)	rmsprop										False	False	
70.0	6.0	('sigmoid', 'sigmoid', 'sigmoid')	['accuracy']	0.9		3604.0	('NOUN', 'VERB')	False	/mnt/store/hlt/Language/Hungarian/Crawl/Web2/ana/xaa.tagged	2000.0	latin2	2000.0	True	0.9595	FFNN	18000.0	10000.0	0.05547183533993343	False	3604.0	True	0 days 00:00:29.472438	0.1385330504644662	2.0	0.9822222222222222	2.0	binary_crossentropy	(40, 40)	rmsprop										False	False	
80.0	6.0	('sigmoid', 'sigmoid', 'sigmoid')	['accuracy']	0.9		3604.0	('NOUN', 'VERB')	False	/mnt/store/hlt/Language/Hungarian/Crawl/Web2/ana/xaa.tagged	50.0	latin2	2000.0	True	0.95175	FFNN	18000.0	10000.0	0.0755301437197874	False	3604.0	True	0 days 00:01:06.174911	0.15174636710062622	2.0	0.9775	2.0	binary_crossentropy	(40, 40)	rmsprop										False	False	
80.0	6.0	('sigmoid', 'sigmoid', 'sigmoid')	['accuracy']	0.9		3604.0	('NOUN', 'VERB')	False	/mnt/store/hlt/Language/Hungarian/Crawl/Web2/ana/xaa.tagged	100.0	latin2	2000.0	True	0.95675	FFNN	18000.0	10000.0	0.07441553913915737	False	3604.0	True	0 days 00:00:49.282097	0.13807873710244895	2.0	0.975	2.0	binary_crossentropy	(40, 40)	rmsprop										False	False	
80.0	6.0	('sigmoid', 'sigmoid', 'sigmoid')	['accuracy']	0.9		3604.0	('NOUN', 'VERB')	False	/mnt/store/hlt/Language/Hungarian/Crawl/Web2/ana/xaa.tagged	200.0	latin2	2000.0	True	0.95325	FFNN	18000.0	10000.0	0.05692961989907134	False	3604.0	True	0 days 00:00:38.143522	0.17232196820620446	2.0	0.9823611111111112	2.0	binary_crossentropy	(40, 40)	rmsprop										False	False	
